,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
5446,1019372,9831,9941,2011/2012,2011-08-20,DRAW,74.0,0.0,74.75,71.0,72.0,77.0,0.5,0.166666666667,0.333333333333,0.415094339623,0.0,0.307692307692,1.0,0.333333333333
5447,1019374,9847,9873,2011/2012,2011-08-21,HOME_WIN,0.0,82.0,68.25,74.0,75.0,79.0,0.5,0.166666666667,0.333333333333,0.517857142857,0.0,0.18,0.0,0.0
5448,1020057,8583,9873,2011/2012,2012-03-31,HOME_WIN,72.0,68.66666667,70.0,72.0,75.0,74.0,0.2,0.2,0.6,0.411764705882,0.285714285714,0.15625,0.0666666666667,0.0
5449,1020060,9827,9836,2011/2012,2012-03-31,DRAW,67.0,74.0,64.0,73.2,72.0,80.0,0.0,1.0,0.0,0.549295774648,0.4,0.214285714286,0.214285714286,
5450,1020062,7819,8576,2011/2012,2012-04-01,DRAW,70.5,67.66666667,68.5,68.0,77.0,76.0,0.0,0.0,1.0,0.30612244898,0.333333333333,0.142857142857,0.142857142857,
5451,1020064,8639,9941,2011/2012,2012-04-01,HOME_WIN,75.0,77.0,73.2,72.0,73.0,80.0,0.333333333333,0.0,0.666666666667,0.657142857143,0.5,0.296875,0.307692307692,0.0
5452,1020071,8689,4087,2011/2012,2012-03-31,AWAY_WIN,68.0,73.0,69.25,73.0,71.0,75.0,0.0,1.0,0.0,0.388059701493,0.428571428571,0.133333333333,0.133333333333,
5453,1020075,8592,10249,2011/2012,2012-04-11,AWAY_WIN,77.5,75.0,76.33333333,73.66666667,75.0,84.0,0.6,0.4,0.0,0.550724637681,0.4,0.32,0.357142857143,0.0
5454,1020078,8481,9847,2011/2012,2012-03-31,HOME_WIN,76.5,68.5,76.33333333,71.25,83.0,72.0,0.285714285714,0.142857142857,0.571428571429,0.304347826087,0.266666666667,0.323529411765,0.5,0.0
5455,1020080,9851,9748,2011/2012,2012-04-01,DRAW,82.0,76.5,72.33333333,73.75,86.0,76.0,0.285714285714,0.142857142857,0.571428571429,0.522388059701,0.357142857143,0.378787878788,0.333333333333,0.333333333333
5456,1020082,9853,9831,2011/2012,2012-03-31,AWAY_WIN,65.0,71.5,69.2,70.75,77.0,79.0,0.142857142857,0.714285714286,0.142857142857,0.393939393939,0.461538461538,0.173913043478,0.0714285714286,1.0
5457,1020092,9874,8521,2011/2012,2012-03-31,HOME_WIN,67.0,72.5,70.33333333,65.33333333,76.0,74.0,0.333333333333,0.333333333333,0.333333333333,0.46875,0.285714285714,0.15625,0.0,0.0
5458,1020096,8576,9853,2011/2012,2012-04-07,DRAW,72.66666667,70.5,69.4,67.0,79.0,77.0,0.0,1.0,0.0,0.333333333333,0.333333333333,0.257142857143,0.4,
5459,1020099,8521,8639,2011/2012,2012-04-07,HOME_WIN,77.0,67.0,72.0,69.33333333,80.0,76.0,0.0,1.0,0.0,0.290322580645,0.333333333333,0.382352941176,0.466666666667,1.0
5460,1020101,7819,9827,2011/2012,2012-04-08,HOME_WIN,0.0,71.0,72.75,68.75,80.0,76.0,0.2,0.6,0.2,0.3,0.307692307692,0.323529411765,0.285714285714,0.5
5461,1020104,9836,8481,2011/2012,2012-04-07,AWAY_WIN,68.5,71.5,71.25,64.25,72.0,72.0,1.0,0.0,0.0,0.428571428571,0.428571428571,0.289855072464,0.285714285714,
5462,1020106,4087,9851,2011/2012,2012-04-07,AWAY_WIN,0.0,68.0,70.8,69.66666667,76.0,71.0,0.0,1.0,0.0,0.5,0.5,0.279411764706,0.384615384615,
5463,1020109,9748,8583,2011/2012,2012-04-07,HOME_WIN,72.0,80.66666667,72.0,74.0,74.0,86.0,0.428571428571,0.285714285714,0.285714285714,0.602941176471,0.714285714286,0.294117647059,0.0,0.333333333333
5464,1020111,10249,9874,2011/2012,2012-04-07,HOME_WIN,72.5,77.5,69.33333333,76.33333333,68.0,75.0,0.75,0.0,0.25,0.607843137255,0.866666666667,0.157142857143,0.133333333333,0.0
5465,1020114,9831,8689,2011/2012,2012-04-08,HOME_WIN,73.0,65.0,74.0,72.66666667,75.0,77.0,0.666666666667,0.333333333333,0.0,0.402985074627,0.333333333333,0.205882352941,0.0666666666667,0.0
5466,1020115,9847,8592,2011/2012,2012-04-08,HOME_WIN,82.0,78.0,75.66666667,79.0,84.0,83.0,0.285714285714,0.714285714286,0.0,0.557142857143,0.666666666667,0.470588235294,0.285714285714,0.666666666667
5467,1020117,9873,9941,2011/2012,2012-04-07,HOME_WIN,75.0,72.0,73.83333333,71.0,73.0,75.0,0.333333333333,0.5,0.166666666667,0.476923076923,0.571428571429,0.292307692308,0.285714285714,0.666666666667
5468,1020118,8583,9847,2011/2012,2012-04-15,DRAW,79.0,70.0,79.0,72.0,83.0,74.0,0.428571428571,0.428571428571,0.142857142857,0.420289855072,0.333333333333,0.31884057971,0.466666666667,0.333333333333
5469,1020119,8639,8576,2011/2012,2012-04-15,HOME_WIN,69.0,76.0,67.0,73.25,77.0,80.0,1.0,0.0,0.0,0.661971830986,0.533333333333,0.133333333333,0.133333333333,
5470,1020120,8689,10249,2011/2012,2012-04-15,HOME_WIN,77.5,73.0,75.5,66.0,75.0,75.0,0.0,0.6,0.4,0.382352941176,0.4,0.333333333333,0.4,0.0
5471,1020123,8592,7819,2011/2012,2012-04-18,DRAW,71.0,77.5,68.75,75.66666667,76.0,84.0,0.6,0.2,0.2,0.542857142857,0.375,0.204081632653,0.230769230769,0.5
5472,1020124,8481,9827,2011/2012,2012-04-15,DRAW,0.0,68.5,73.0,71.25,80.0,72.0,0.285714285714,0.571428571429,0.142857142857,0.314285714286,0.3125,0.31884057971,0.266666666667,0.333333333333
5473,1020126,9851,9831,2011/2012,2012-04-16,HOME_WIN,65.0,77.0,73.66666667,72.8,77.0,76.0,0.571428571429,0.142857142857,0.285714285714,0.514705882353,0.333333333333,0.185714285714,0.133333333333,0.0
5474,1020128,9853,8521,2011/2012,2012-04-15,HOME_WIN,67.0,72.0,70.75,70.6,76.0,79.0,0.333333333333,0.333333333333,0.333333333333,0.388059701493,0.428571428571,0.151515151515,0.0,0.0
5475,1020130,9874,9836,2011/2012,2012-04-15,HOME_WIN,67.0,72.5,63.5,69.33333333,72.0,74.0,0.0,0.0,1.0,0.476923076923,0.333333333333,0.2,0.2,
5476,1020132,9941,9748,2011/2012,2012-04-18,HOME_WIN,77.33333333,75.0,71.66666667,74.75,86.0,73.0,0.142857142857,0.571428571429,0.285714285714,0.451612903226,0.571428571429,0.373134328358,0.3125,0.0
5477,1020134,9873,4087,2011/2012,2012-04-15,AWAY_WIN,65.0,72.0,69.66666667,70.25,71.0,75.0,0.0,1.0,0.0,0.484848484848,0.6,0.1875,0.1875,
5478,1020137,8576,8481,2011/2012,2012-04-22,DRAW,72.0,69.0,71.25,67.0,72.0,77.0,0.0,0.0,1.0,0.3125,0.3125,0.3,0.333333333333,
5479,1020149,9827,8592,2011/2012,2012-04-21,HOME_WIN,76.0,73.0,75.0,72.8,84.0,80.0,0.0,0.285714285714,0.714285714286,0.541666666667,0.375,0.463768115942,0.266666666667,0.0
5480,1020150,8521,9851,2011/2012,2012-04-21,AWAY_WIN,77.0,67.0,72.8,70.75,76.0,76.0,0.333333333333,0.333333333333,0.333333333333,0.3125,0.375,0.289855072464,0.428571428571,0.0
5481,1020152,7819,9853,2011/2012,2012-04-21,AWAY_WIN,73.0,65.0,70.6,67.5,79.0,76.0,0.5,0.25,0.25,0.313725490196,0.357142857143,0.253521126761,0.375,0.0
5482,1020153,9836,8639,2011/2012,2012-04-21,AWAY_WIN,76.0,68.66666667,77.75,64.0,80.0,72.0,0.0,1.0,0.0,0.4,0.4,0.376811594203,0.4375,
5483,1020156,4087,9941,2011/2012,2012-04-21,HOME_WIN,72.0,65.0,75.25,71.66666667,73.0,71.0,0.0,1.0,0.0,0.466666666667,0.466666666667,0.287878787879,0.266666666667,
