match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating
1229270,10003,9850,2012/2013,12/8/12 0:00,AWAY_WIN,74.5,76.33333333,73.25,73.25,70,72
1229271,8654,8650,2012/2013,12/9/12 0:00,AWAY_WIN,0,71.5,80.8,71.5,83,72
1229272,8528,10172,2012/2013,12/8/12 0:00,DRAW,69,75,73.25,72,76,79
1229273,8455,8466,2012/2013,1/16/13 0:00,DRAW,74,82,72,79.5,74,84
1229274,8650,10252,2012/2013,12/15/12 0:00,AWAY_WIN,72,85,70,81.25,76,83
1229275,10260,8472,2012/2013,12/15/12 0:00,HOME_WIN,77,88,73.66666667,80.25,76,80
1229276,10261,8456,2012/2013,12/15/12 0:00,AWAY_WIN,87,82,79.5,76.33333333,84,79
1229278,9850,8528,2012/2013,12/15/12 0:00,HOME_WIN,75,74.5,73,73.5,79,70
1229279,10172,9879,2012/2013,12/15/12 0:00,HOME_WIN,75,74,75.8,73,79,76
1229280,9798,9825,2012/2013,12/17/12 0:00,AWAY_WIN,81.5,70.66666667,80.75,68.33333333,80,72
1229281,10194,8668,2012/2013,12/15/12 0:00,DRAW,75,74,77.5,75,81,79
1229282,8586,10003,2012/2013,12/16/12 0:00,HOME_WIN,76.5,81.33333333,71.75,78,72,85
1229283,8659,8654,2012/2013,12/16/12 0:00,DRAW,71.5,74.5,71.5,70.75,72,73
1229284,8455,10252,2012/2013,12/23/12 0:00,HOME_WIN,72,79.5,70,80,76,84
1229285,8650,9879,2012/2013,12/22/12 0:00,HOME_WIN,0,85,75.8,80.8,79,83
1229286,8456,9798,2012/2013,12/22/12 0:00,HOME_WIN,72,87,71.5,77.25,72,84
1229287,10261,10172,2012/2013,12/22/12 0:00,HOME_WIN,74,82,72.75,76.33333333,76,79
1229288,8466,8472,2012/2013,12/22/12 0:00,AWAY_WIN,77,73,73.33333333,72.2,76,73
