,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Goalkeeper_rating,home_Goalkeeper_rating
711,838508,10000,9984,2010/2011,2010-08-21 00:00:00,HOME_WIN,65.0,69.0
713,838511,9994,8635,2010/2011,2010-08-21 00:00:00,AWAY_WIN,72.0,72.0
715,838515,6351,9987,2010/2011,2010-08-22 00:00:00,AWAY_WIN,60.0,64.0
716,838517,8635,10000,2010/2011,2010-08-28 00:00:00,DRAW,69.0,72.0
718,838519,9991,9993,2010/2011,2010-08-29 00:00:00,HOME_WIN,62.0,71.0
720,838521,9986,6351,2010/2011,2010-08-28 00:00:00,HOME_WIN,64.0,58.0
721,838523,8203,9997,2010/2011,2010-08-28 00:00:00,DRAW,59.0,69.0
722,838524,10001,8342,2010/2011,2010-08-29 00:00:00,AWAY_WIN,73.0,68.0
723,838526,9984,9994,2010/2011,2010-08-28 00:00:00,DRAW,72.0,65.0
724,838528,8342,9987,2010/2011,2010-09-12 00:00:00,DRAW,60.0,73.0
725,838529,9985,9984,2010/2011,2010-09-11 00:00:00,HOME_WIN,65.0,69.0
726,838531,9993,9986,2010/2011,2010-09-11 00:00:00,HOME_WIN,58.0,62.0
727,838532,9997,8635,2010/2011,2010-09-10 00:00:00,AWAY_WIN,72.0,59.0
728,838534,10000,6351,2010/2011,2010-09-11 00:00:00,DRAW,64.0,69.0
729,838536,9994,10001,2010/2011,2010-09-12 00:00:00,HOME_WIN,68.0,72.0
730,838537,8571,8203,2010/2011,2010-09-11 00:00:00,HOME_WIN,69.0,68.0
