trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.7, 'e': 0.15147322518562412}",20,0,-7.774557118790886,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.7, 'e': 0.14649655653445373}",20,1,16.567061342843207,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.14176434744950409}",30,15,16.371181979665266,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.13725949207376573}",25,15,5.414458948672417,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.13296648535764677}",30,18,19.97507880228676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.12887123390720645}",25,14,21.374517514772364,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.12496089380301004}",20,8,-31.02834204451195,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.12122373090413006}",30,15,24.08917239591423,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.11764899999999996}",30,21,19.872614889947933,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.11422683984215362}",20,9,22.89794235632433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.11094818161978462}",25,5,-6.4661489343820495,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.10780466886854381}",35,17,-43.33148662142124,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
41,False,"{'a': 0.7, 'e': 0.10478858714447747}",30,12,33.4803770816658,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.10189280207230365}",25,0,-39.27034962511639,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.09911070460299115}",25,0,23.841165391902514,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.09643616250038858}",25,0,36.91228843358303,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.09386347722864574}",20,7,22.613076609281595,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0913873455377919}",25,0,-9.878300662830227,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.08900282514912668}",25,8,31.149900186902254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.0867053040290377}",25,0,34.04215731807574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.7, 'e': 0.08449047281266228}",20,0,28.96445806798448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.08235429999999996}",20,12,13.77414774514404,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.08029300959870711}",25,0,-1.553194944735835,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.07830306093151196}",20,7,22.719578969957876,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
